Orig,Actl_BM,Gross_gal,Enroute_gal,Alt_gal,Cont_gal,Tanker_gal,cluster,cluster_euclid,cluster_cosine
MLR,47.8759765625,19.030859375,11.0888671875,1.7010742187499999,4.909667968749999,1.3310546875,5,4,4
MMT,201.69162995594715,1923.9805616740077,1502.1734581497797,176.06508810572674,241.53738986784103,4.21068281938326,1,2,0
MQK,99.78331402085747,483.04658169177367,163.79606025492467,157.019235225956,156.12746234067205,6.107415990730013,0,6,0
NAN,190.27238924050633,2377.2560759493654,1769.9464398734178,178.07041139240528,249.82162974683524,179.41853639240512,1,2,0
NMQ,116.86074978916972,1707.3621323247596,1085.2597429148245,171.12427742710383,247.13000178886324,203.8505404921924,2,0,0
NQJ,126.19456585589263,1535.8221258674307,1036.5006222682425,147.8115463116917,235.7170063421519,115.79391670566228,6,0,0
NTV,81.47218453188603,468.3342198100406,155.80284938941656,159.15911804613293,135.23055630936273,18.144762550881964,0,6,0
NWF,178.92362566648282,2134.992583195438,1580.9637065637066,189.39617576760483,245.68074278360046,118.95056811913919,1,2,0
NWO,41.5,0.0,0.0,0.0,0.0,0.0,5,4,1
ODW,218.11643090315562,2217.415342763873,1790.11316648531,170.92415669205667,250.25299238302497,6.112078346028292,1,2,0
OHV,31.333333333333332,0.0,0.0,0.0,0.0,0.0,5,4,1
OQH,140.3079093512192,1501.3359223591244,1053.9090104792479,170.4994667718781,240.87426755857032,36.051481620965724,6,0,0
OWI,160.48718146718147,1761.9207451737404,1308.2799227799228,179.94898069498004,235.82758301158418,37.863073359073326,2,0,0
OYA,73.53626373626373,228.60825745682877,30.200313971742542,98.6253689167975,91.54295133437986,8.236797488226065,5,4,0
PAT,45.333333333333336,336.90000000000003,106.66666666666667,129.06666666666666,101.03333333333335,0.0,5,4,0
PDT,152.08332445391582,2049.6797336174795,1274.0107973716924,145.12660628662763,248.36421594743317,382.1741253773752,2,0,0
PEB,99.52802146492878,805.6269758387971,480.6231668661467,130.9083005616133,183.9916284147267,10.104157514697961,0,3,0
PUS,118.15328291921738,1790.6291831712751,1036.6497419277398,170.01711454207168,235.21014884167764,348.75262873604555,2,0,0
QJQ,123.07488692150697,2024.0050471620032,1237.9769430194715,165.3380350543312,246.62830685641765,374.06225591593955,2,0,0
QNK,133.88321923050532,1322.4375261943824,924.3389197092621,161.54949617047467,219.60924312084003,16.93841403227258,6,1,0
QPB,61.75,17.1,0.0,12.85,0.0,4.25,5,4,3
QXR,120.99870617156165,1426.0484021218638,932.160909130116,168.77469055936535,232.7243466166406,92.38834907491302,6,1,0
QYG,34.75,225.475,63.75,93.625,68.075,0.0,5,4,0
RFH,142.55136260943237,1887.3775875458937,1281.440765320531,164.22390567636268,254.14249152781622,187.56941188929628,2,0,0
RJX,223.55886826893826,2026.4509278977828,1628.4548220261636,165.08874353513838,226.78086400973555,6.120505019774875,1,2,0
RSE,55.0,0.0,0.0,0.0,0.0,0.0,5,4,1
SCF,95.64100019845208,1320.1919626910146,771.2687041079579,151.5918138519546,238.46719587219584,158.86605477277251,6,1,0
SPX,21.333333333333332,799.2666666666668,301.3333333333333,315.5,150.76666666666668,31.566666666666666,0,3,0
SQG,131.13834312335428,1157.1206299372138,770.4508811018837,175.88633785699832,205.2451286206195,5.542059955438524,4,1,0
SQN,45.54545454545455,671.4454545454545,216.27272727272728,295.45454545454544,144.5181818181818,15.145454545454545,0,6,0
SSA,62.81677704194261,302.90494481236163,46.662030905077266,165.75708609271533,87.23161147902877,3.252847682119205,5,4,0
SZA,116.19510089565124,1066.5669903960265,659.8116974209561,137.32095608071666,219.72518614438326,49.71147081040241,4,1,0
TAR,110.97322741982936,1192.3982053545171,779.8605472197705,139.0948514268902,224.6358929096792,48.8097087378641,4,1,0
TJF,102.99776453055142,802.5860904123197,492.22329855936414,138.37781917536014,168.56530054644807,3.4166169895678085,0,3,0
TMQ,29.333333333333332,743.8000000000001,215.66666666666666,289.6333333333333,238.4,0.0,0,6,0
TPM,120.16544944929139,1644.9590580711442,1013.2605108365244,173.0568078638818,231.11155106391328,227.5334017606881,2,0,0
TSP,114.07142857142857,514.9183473389361,193.27731092436974,148.96652661064442,166.80322128851546,5.870448179271708,0,6,0
TTR,56.0,316.425,252.5,0.0,63.825,0.0,5,4,0
TYA,40.12040133779264,46.569230769230764,38.802675585284284,2.523076923076923,5.011705685618728,0.23578595317725753,5,4,5
TZA,111.33333333333333,1654.3999999999999,1458.0,101.03333333333335,95.39999999999999,0.0,2,0,0
UEO,75.79209039548023,373.4292655367233,124.5271186440678,127.60581920903961,112.97813559322039,8.317118644067804,5,4,0
UKI,73.44068176721238,822.408107198923,397.17986095537117,111.00543843911196,216.6469724153403,97.57561112357024,0,3,0
UUT,24.0,801.7,200.5,477.65,123.55,0.0,0,6,0
VEV,137.76780575539567,1682.5247631894529,1159.9587230215827,179.68384442446086,235.55517685851183,107.32563399280548,2,0,0
VMG,69.25,169.9,0.0,140.4,29.5,0.0,5,4,2
